		A2058_1	A2058_2	A2058_3	Skmel_1	Skmel_2	A431_1	A431_2	A431_3	SCC9_1	SCC9_2	HEK_2	HEK_3	HaCaT_1	HaCaT_2	HaCaT_3
		melanoma	melanoma	melanoma	melanoma	melanoma	carcinoma	carcinoma	carcinoma	carcinoma	carcinoma	normal	normal	normal	normal	normal
SRSF2	IPI01009595_SRSF2	2.25	0.00	0.00	0.00	2.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TNPO1	IPI00024364_TNPO1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.43	0.00	0.00	0.00	2.45	0.00
TRMT6	IPI00099311_TRMT6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.45	0.00
XRN2	IPI01012839_XRN2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.45	2.18
CASP7	IPI01010205_CASP7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.95	0.00	0.00	0.00	0.00	0.00	0.00
DLK2	IPI00028381_DLK2	0.00	0.00	0.00	0.00	0.00	3.30	4.02	2.80	0.00	0.00	0.00	0.00	2.10	0.00	0.00
DCTN2	IPI00973457_DCTN2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	2.18
RCC1	IPI00787306_RCC1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	3.06	0.00	0.00	0.00
CLEC3B	IPI00009028_CLEC3B	0.00	0.00	4.44	2.96	0.00	3.30	0.00	0.00	5.27	0.00	0.00	4.59	0.00	0.00	0.00
RUVBL2	IPI00009104_RUVBL2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	0.00	3.67	2.18
NLGN1	IPI00903001_NLGN1	2.25	6.84	0.00	0.00	2.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PPIF	IPI00026519_PPIF	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.22	0.00	0.00	0.00	0.00	0.00	0.00
CPD	IPI00027078_CPD	0.00	0.00	0.00	4.44	2.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
XPNPEP1	IPI01011873_XPNPEP1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	2.45	2.72
HMGCS1	IPI00008475_HMGCS1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.67	3.81
CD74	IPI00982274_CD74	0.00	0.00	0.00	4.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
IDI1	IPI00220014_IDI1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SEMA3E	IPI00004494_SEMA3E	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	6.12	0.00	0.00	0.00
ART3	IPI00013682_ART3	3.37	4.27	6.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TIPRL	IPI00745568_TIPRL	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.45	4.90
B3GAT3	IPI00304331_B3GAT3	0.00	0.00	2.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.73	4.59	0.00	0.00	0.00
PKP3	IPI00026952_PKP3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	0.00	0.00	0.00	3.67	2.18
COL9A3	IPI00289999_COL9A3	2.25	2.56	2.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NPLOC4	IPI00001676_NPLOC4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.18	0.00	0.00	0.00	0.00	0.00
SPRR1B	IPI00304903_SPRR1B	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.15	5.50	3.26
ITGAE	IPI00007205_ITGAE	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PSMC2	IPI00021435_PSMC2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	2.45	0.00
POTEE	IPI00479743_POTEE	70.78	52.12	99.51	10.35	10.44	44.57	23.11	75.49	48.74	148.28	15.46	30.61	150.18	123.51	122.95
STX7	IPI00552913_STX7	0.00	0.00	0.00	2.96	0.00	0.00	0.00	0.00	3.95	0.00	0.00	0.00	2.10	0.00	0.00
TANC2	IPI00868787_TANC2	0.00	0.00	0.00	0.00	2.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AMIGO2	IPI00238262_AMIGO2	0.00	2.56	2.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MUT	IPI00024934_MUT	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	0.00	0.00
ITGB3	IPI00220350_ITGB3	0.00	0.00	0.00	0.00	2.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
RPL18	IPI00215719_RPL18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MYH10	IPI00397526_MYH10	0.00	0.00	4.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ITIH3	IPI00028413_ITIH3	0.00	0.00	0.00	0.00	0.00	4.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PPP2R2A	IPI00798041_PPP2R2A	0.00	2.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.18	0.00	0.00	2.72
MYH14	IPI00337335_MYH14	3.37	2.56	0.00	0.00	0.00	3.30	3.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CHST14	IPI00044326_CHST14	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.00	0.00	0.00	3.06	0.00	0.00	0.00
SDHA	IPI00305166_SDHA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	0.00	0.00
TSN	IPI00917623_TSN	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.80	0.00	2.06	0.00	0.00	0.00	0.00	0.00
DDX3X	IPI00215637_DDX3X	2.25	0.00	0.00	0.00	0.00	4.95	0.00	0.00	0.00	0.00	3.09	0.00	0.00	2.45	0.00
AK1	IPI00018342_AK1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.72
MAN2B2	IPI00328488_MAN2B2	0.00	0.00	0.00	0.00	0.00	0.00	3.01	0.00	0.00	2.06	0.00	0.00	0.00	0.00	0.00
KRT86	IPI00182655_KRT86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	3.43	0.00	0.00	0.00	0.00	0.00
SORCS1	IPI00644454_SORCS1	0.00	4.27	2.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NUDT2	IPI00221231_NUDT2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.95	2.75	0.00	0.00	0.00	0.00	0.00
SQSTM1	IPI00179473_SQSTM1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.81
ACO2	IPI00017855_ACO2	0.00	0.00	0.00	0.00	2.32	0.00	0.00	0.00	0.00	4.12	0.00	0.00	0.00	0.00	0.00
EPS8L2	IPI00981914_EPS8L2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.12	0.00	0.00	0.00	0.00	0.00
VASP	IPI00301058_VASP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	2.45	2.72
SLC39A14	IPI00014236_SLC39A14	5.62	0.00	0.00	7.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NCBP1	IPI00019380_NCBP1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	2.72
SERPINA5	IPI00007221_SERPINA5	0.00	5.98	5.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
VAPA	IPI00170692_VAPA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.12	0.00	0.00	0.00	0.00	0.00
LAMA3	IPI00790908_LAMA3	0.00	0.00	0.00	0.00	0.00	13.21	12.06	40.01	108.03	73.46	0.00	3.06	46.21	43.41	43.52
AZGP1	IPI00166729_AZGP1	0.00	0.00	2.67	8.87	3.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NTN4	IPI00328091_NTN4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.43	0.00	0.00	0.00	0.00	0.00
AKR1C3	IPI00291483_AKR1C3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	9.17	4.90
SAA1	IPI00552578_SAA1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	5.49	0.00	0.00	0.00	0.00	0.00
SYCP2L	IPI00514533_SYCP2L	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PACSIN2	IPI00221111_PACSIN2	0.00	0.00	0.00	0.00	2.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ATP6V0A2	IPI00000425_ATP6V0A2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PCSK6	IPI00873584_PCSK6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	0.00	0.00	0.00
PPP1R14B	IPI00398922_PPP1R14B	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	0.00	0.00
TUBB2A	IPI00930715_TUBB2A	25.84	23.93	15.99	0.00	11.60	61.08	18.08	24.23	46.11	30.21	57.20	41.33	15.75	24.46	21.22
PGCP	IPI00005794_PGCP	0.00	0.00	2.67	0.00	5.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PSMC1	IPI00011126_PSMC1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	0.00
NUP214	IPI00183294_NUP214	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.72
CFL2	IPI00413344_CFL2	10.11	5.13	8.00	0.00	0.00	0.00	3.01	0.00	7.90	7.55	6.18	6.12	2.10	4.89	4.90
ACBD3	IPI00009315_ACBD3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.45	2.18
FRMPD4	IPI00187159_FRMPD4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
COPS4	IPI00171844_COPS4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.45	3.26
PROSC	IPI00902466_PROSC	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.15	2.45	3.26
CTSS	IPI00299150_CTSS	0.00	0.00	0.00	4.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C6ORF115	IPI00855846_C6ORF115	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.00	2.06	0.00	0.00	0.00	0.00	0.00
ERICH2	IPI01011080_ERICH2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	0.00	0.00
EDIL3	IPI00306046_EDIL3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.26
TES	IPI00024097_TES	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	0.00	0.00	0.00	3.06	0.00
PSMC4	IPI00020042_PSMC4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	2.45	3.81
GALNT5	IPI00005401_GALNT5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.15	0.00	3.81
RPL23A	IPI00021266_RPL23A	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MANBA	IPI00965393_MANBA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	0.00	0.00	0.00
WDR12	IPI00304232_WDR12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	0.00	0.00	0.00
PPP1CA	IPI00027423_PPP1CA	3.37	3.42	3.55	0.00	0.00	6.60	2.01	4.66	0.00	6.18	0.00	4.59	4.20	12.23	10.34
EFNB2	IPI00005126_EFNB2	2.25	2.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	3.06	3.15	0.00	0.00
COL5A2	IPI00739099_COL5A2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
BAMBI	IPI00011899_BAMBI	0.00	0.00	0.00	4.44	2.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PTGFRN	IPI01012315_PTGFRN	4.49	4.27	0.00	4.44	8.12	0.00	4.02	0.00	2.63	2.06	4.64	3.06	0.00	2.45	0.00
UBE2M	IPI00022597_UBE2M	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	3.09	0.00	0.00	0.00	0.00
SLC7A5	IPI00008986_SLC7A5	4.49	0.00	0.00	0.00	0.00	3.30	0.00	0.00	3.95	2.06	0.00	0.00	0.00	0.00	0.00
TAF15	IPI00020194_TAF15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.73	4.59	2.10	2.45	2.18
SERPINB9	IPI00032139_SERPINB9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	0.00	0.00
PAK1	IPI00289746_PAK1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
REXO2	IPI01014883_REXO2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	3.15	0.00	0.00
BAIAP2	IPI00299088_BAIAP2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	0.00	0.00
LMNA	IPI00216952_LMNA	35.95	26.49	26.65	11.83	10.44	26.41	17.08	15.84	28.98	27.46	0.00	0.00	40.96	37.91	36.45
FBLN2	IPI00465038_FBLN2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	0.00	0.00
MAVS	IPI00020719_MAVS	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	0.00	0.00
SEC24C	IPI01015489_SEC24C	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	0.00	0.00	0.00	0.00
KCNIP2	IPI00651753_KCNIP2	0.00	0.00	0.00	4.44	0.00	0.00	0.00	0.00	2.63	0.00	0.00	0.00	0.00	0.00	0.00
PIR	IPI00012575_PIR	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	0.00	0.00
BASP1	IPI00299024_BASP1	0.00	0.00	0.00	0.00	0.00	0.00	7.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TGOLN2	IPI00012545_TGOLN2	0.00	0.00	0.00	0.00	4.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CNP	IPI00220993_CNP	11.24	2.56	2.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MT2A	IPI00022498_MT2A	3.37	2.56	0.00	0.00	5.80	0.00	3.01	4.66	9.22	2.75	0.00	0.00	4.20	3.06	2.72
UXS1	IPI00410544_UXS1	2.25	5.98	4.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
HAPLN3	IPI00045527_HAPLN3	0.00	0.00	3.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ARHGAP1	IPI00020567_ARHGAP1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.18
PSMD5	IPI00002134_PSMD5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.89	3.26
INHBB	IPI00297026_INHBB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.95	4.81	0.00	0.00	0.00	0.00	0.00
SERPINF2	IPI00879231_SERPINF2	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	0.00	0.00	0.00	0.00	0.00	0.00
AIFM1	IPI00157908_AIFM1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	3.09	3.06	0.00	0.00	0.00
SULF2	IPI00297252_SULF2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	0.00	0.00
SFRS2IP	IPI00746412_SFRS2IP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TFPI	IPI00021834_TFPI	0.00	0.00	0.00	0.00	0.00	0.00	3.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SEC23B	IPI00017376_SEC23B	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.45	2.18
APRT	IPI00218693_APRT	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	3.06	0.00	3.06	0.00
RAP1B	IPI00015148_RAP1B	3.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNRPD3	IPI00017964_SNRPD3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	3.06	0.00	2.45	0.00
ASNS	IPI00554777_ASNS	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.73	0.00	0.00	0.00	0.00
CTGF	IPI00020977_CTGF	0.00	0.00	0.00	0.00	2.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GLI1	IPI00027451_GLI1	0.00	0.00	0.00	4.44	2.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CARM1	IPI00412880_CARM1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
RPL6	IPI00867533_RPL6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
RYK	IPI00219225_RYK	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C4ORF31	IPI00152148_C4ORF31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PEX5	IPI00032931_PEX5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	0.00	0.00	0.00	0.00	0.00	0.00
SF3B4	IPI00017339_SF3B4	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.26
PSMB10	IPI00027933_PSMB10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.28	0.00
STC1	IPI00005564_STC1	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.64	6.12	0.00	0.00	0.00
HDAC2	IPI00289601_HDAC2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	2.18
IGFL1	IPI00374666_IGFL1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.27	2.75	0.00	0.00	0.00	0.00	0.00
SF3A3	IPI00029764_SF3A3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.45	0.00
IMPAD1	IPI00787853_IMPAD1	0.00	0.00	0.00	0.00	0.00	0.00	3.01	2.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
RPL4	IPI00003918_RPL4	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PDE8A	IPI00030976_PDE8A	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	0.00	0.00	0.00	0.00
SPINT2	IPI00011662_SPINT2	0.00	0.00	0.00	0.00	0.00	3.30	2.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
BTF3L4	IPI00412792_BTF3L4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	0.00	0.00	2.18
GBP1	IPI00028564_GBP1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	0.00	0.00
THRAP3	IPI00104050_THRAP3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	0.00	0.00	0.00
FAM123B	IPI00167391_FAM123B	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EFHD2	IPI00060181_EFHD2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LIMK2	IPI00025698_LIMK2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GPR56	IPI00397949_GPR56	0.00	0.00	0.00	4.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
RPS5	IPI00008433_RPS5	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	0.00	0.00	0.00	2.10	0.00	0.00
LYPLA1	IPI00398727_LYPLA1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	0.00	0.00	0.00	0.00	0.00
RPA2	IPI00013939_RPA2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	0.00	0.00	0.00	2.18
UBA3	IPI00328154_UBA3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.18	0.00	0.00	0.00	0.00
FKBP1A	IPI00413778_FKBP1A	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	2.63	0.00	0.00	0.00	0.00	0.00	0.00
RRM1	IPI00013871_RRM1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	2.18
HDLBP	IPI00022228_HDLBP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
USP39	IPI00419844_USP39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	2.18
PLXDC2	IPI00044369_PLXDC2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.26
NNMT	IPI00027681_NNMT	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.81	0.00	0.00	0.00	0.00	0.00
CHMP5	IPI00100796_CHMP5	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	2.75	0.00	0.00	0.00	0.00	0.00
SUGT1	IPI00791573_SUGT1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.45	0.00
FARSB	IPI00300074_FARSB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.45	0.00
DKFZP686O24166	IPI00398918_DKFZP686O24166	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	0.00	0.00	0.00	0.00
PDGFRL	IPI00006236_PDGFRL	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	0.00	0.00	0.00	0.00
TUBB3	IPI00013683_TUBB3	17.98	12.82	11.55	0.00	9.28	34.66	14.07	16.78	31.62	24.03	37.10	26.02	11.55	22.62	18.50
RNASE1	IPI00014048_RNASE1	0.00	0.00	0.00	2.96	6.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CADM1	IPI01011813_CADM1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	0.00	0.00	0.00	0.00
LRRK1	IPI00748762_LRRK1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MTDH	IPI00328715_MTDH	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EIF1AX	IPI00232533_EIF1AX	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	0.00	2.18
RPL21	IPI00247583_RPL21	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TXNDC12	IPI00026328_TXNDC12	0.00	0.00	0.00	0.00	2.32	0.00	3.01	3.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00
UBAP2L	IPI00029019_UBAP2L	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.26
TSTA3	IPI00014361_TSTA3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	0.00	0.00
GAS1	IPI00008832_GAS1	0.00	2.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
HMBS	IPI00028160_HMBS	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	0.00	3.15	0.00	0.00
KRT76	IPI00008359_KRT76	0.00	0.00	3.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TUBB6	IPI00646779_TUBB6	10.11	7.69	5.33	0.00	4.64	16.51	6.03	12.12	21.08	15.79	18.55	15.31	10.50	10.39	9.79
ZNF259	IPI00025244_ZNF259	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.45	0.00
